PriceRange,ReleaseYear,Camera,AvailableColors,Ram_GB,NetworkSupport,BluetoothVersion,Rom_GB,BatteryCapacity,VideoRes,NumOfSensors,FastCharging,WR_version,OTG,USB_Version,TypeC,NFC,Display,Protection,Chipset,Processor,GPU,Fingerprint,FaceLock
4.0,2020.0,10.0,3.0,12.0,4.0,5.0,256.0,4500.0,2160.0,6.0,25.0,0.0,1,3.1,1,1,Foldable Dynamic AMOLED 2X Touchscreen,0,Qualcomm Snapdragon 865+ (7 nm+),"Octa core, up to 3.09 GHz",Adreno 650,1,1
1.0,2020.0,13.0,4.0,6.0,3.0,5.0,32.0,5000.0,1080.0,5.0,15.0,0.0,1,2.0,1,0,PLS TFT Touchscreen,0,Exynos 850 (8 nm),"Octa core, up to 2.2 GHz",Mali-G52,1,1
4.0,2020.0,10.0,3.0,8.0,3.0,5.0,256.0,3300.0,2160.0,6.0,15.0,0.0,1,3.1,1,1,Dynamic AMOLED Foldable Touchscreen,1,Qualcomm Snapdragon 855+ (7 nm),"Octa core, up to 2.95 GHz",Adreno 640,1,1
0.0,2020.0,5.0,3.0,2.0,3.0,4.2,16.0,3000.0,0.0,2.0,0.0,0.0,1,2.0,0,0,PLS TFT Touchscreen,0,Qualcomm Snapdragon 439 (12 nm),"Octa core, up to 1.95 GHz",Adreno 505,0,1
0.0,2019.0,5.0,2.0,1.0,3.0,4.2,8.0,2600.0,0.0,2.0,0.0,0.0,1,2.0,0,0,PLS TFT Touchscreen,0,Exynos 7870 Octa (14 nm),"Octa core, 1.6 GHz",Mali-T830 MP1,0,0
4.0,2020.0,10.0,3.0,12.0,5.0,5.0,128.0,4500.0,2160.0,5.0,25.0,68.0,1,3.1,1,1,Dynamic AMOLED 2X Touchscreen,1,Exynos 990 (7 nm+),"Octa core, up to 2.73 GHz",Mali-G77 MP11,1,1
4.0,2019.0,10.0,3.0,12.0,5.0,5.0,256.0,4300.0,2160.0,6.0,45.0,68.0,1,3.1,1,0,Dynamic AMOLED Touchscreen,1,Exynos 9825 (7 nm),"Octa core, up to 2.73 GHz",Mali-G76 MP12,1,1
2.0,2019.0,16.0,3.0,6.0,3.0,5.0,64.0,6000.0,1080.0,5.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,0,Exynos 9611 (10nm),"Octa core, up to 2.3 GHz",Mali-G72 MP3,1,1
4.0,2019.0,10.0,3.0,8.0,3.0,5.0,128.0,4100.0,2160.0,7.0,15.0,68.0,1,3.1,1,0,Dynamic AMOLED Touchscreen,1,Exynos 9820 Octa (8 nm),"Octa core, up to 2.73 GHz",Mali-G76 MP12,1,1
1.0,2019.0,16.0,2.0,6.0,3.0,5.0,128.0,3500.0,1080.0,6.0,15.0,0.0,1,2.0,1,0,PLS TFT Touchscreen,1,Qualcomm Snapdragon 675 (11 nm),"Octa core, up to 2.0 GHz",Adreno 612,1,1
